0.wav| əŋəs̪, məəd̪ʰən̪s̪, kəs̪ɪs̪, koːs̪ələn̪s̪, ʋəd̪ʒd̪ʒɪən̪s̪, məllən̪s̪, t̪ʃeːt̪ɪs̪, ʋəŋs̪ɑːs̪,
410.wav| wˈɛn ðˈɪs wˈɒz sˈɛd, s̪ət̪ʃt̪ʃəkə ðˈə n̪ɪəɳʈʰə-sˈʌn wˈɒz sˈaɪlənt.
411.wav| sˈəʊ vˈɛnəɹəbəl məɦɑː kət̪ʃt̪ʃɑːn̪ə ɡˈeɪv s̪oːɳə koːʈɪkəɳɳə ðˈə ɡˈəʊɪŋ-fˈɔːθ.
412.wav| ˈaz hˈiː wˈɒz sˈɪtɪŋ ðˈeə, hˈiː sˈɛd tˈuː vˈɛnəɹəbəl s̪əbʰɪjə kət̪ʃt̪ʃɑːn̪ə, 'nˈaʊ ðˈɛn, mˈastə kət̪ʃt̪ʃɑːn̪ə, dˈʌz ðˈə t̪ət̪ʰɑːət̪ə ɛɡzˈɪst ˈaftə dˈɛθ?'
413.wav| ˈaɪ wˈɪl bɹˈɪŋ ðˈiːz ʋəd̪ʒd̪ʒɪən̪s̪ tˈuː ɹˈuːɪn—ðˈiːz ʋəd̪ʒd̪ʒɪən̪s̪!'
414.wav| ˈaɪ hˈav hˈɜːd ðˈat ˈɒn wˈɒn əkˈeɪʒən vˈɛnəɹəbəl s̪ɑːɾɪput̪t̪ə wˈɒz stˈeɪɪŋ nˈiə s̪ɑːʋət̪t̪ʰiː ˈɪn d̪ʒeːt̪ə's̪ ɡɹˈəʊv, ən̪ɑːt̪ʰəpɪɳɖɪkə's̪ mˈɒnastəɹi.
415.wav| ðˈə ɡɹˈeɪtə kɹˈeɪvɪŋ-dɪstɹˈʌkʃən dˈɪskɔːs. məɦɑː t̪əɳɦɑːs̪əŋkʰəjə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. θˈɜːti ˈeɪt
416.wav| nˈaʊ ˈat ðˈat tˈaɪm, d̪ʒɑːɳus̪s̪oːɳɪn̪ ðˈə bɹˈɑːmən wˈɒz dɹˈaɪvɪŋ ˈaʊt ˈɒv s̪ɑːʋət̪t̪ʰiː ˈɪn ðˈə mˈɪdəl ˈɒv ðˈə dˈeɪ ˈɪn ˈeɪ tˈəʊtəli wˈaɪt ɹˈuːft-tʃˈaɹiət.
417.wav| sˈʌm ˈɒv ðˈə lɪt̪ʃt̪ʃʰəʋɪs̪, ˈaftə ɐnˈaʊnsɪŋ ðˈeə nˈeɪm ˈand klˈan, sˈat tˈuː wˈɒn sˈaɪd.
418.wav| ˈɒn wˈɒn əkˈeɪʒən vˈɛnəɹəbəl ɑːn̪ən̪d̪ə wˈɒz stˈeɪɪŋ nˈiə s̪ɑːʋət̪t̪ʰiː ˈɪn d̪ʒeːt̪ə's̪ ɡɹˈəʊv, ən̪ɑːt̪ʰəpɪɳɖɪkə's̪ mˈɒnastəɹi.
419.wav| ðˈə bˈɒdi nˈeɪmd ʋeːɦəppʰəlɑː [skˈaɪ-fɹˈuːt], {ðˈə bˈɒdi nˈeɪmd əbʰɪbʰuː [kˈɒŋkəɹə]} wˈɪtʃ jˈuː dˈəʊnt nˈəʊ, dˈəʊnt sˈiː, bˈʌt ðˈat ˈaɪ nˈəʊ, ˈaɪ sˈiː.
420.wav| sˈʌm ˈɒv ðˈə lɪt̪ʃt̪ʃʰəʋɪs̪, hˈavɪŋ bˈaʊd dˈaʊn tˈuː ðˈə blˈɛsɛd wˈɒn, sˈat tˈuː wˈɒn sˈaɪd.
421.wav| wˈɪð t̪ɪmbəɾu [ˈand hˈɪz dˈɔːtə,] s̪uɾɪjəʋət̪ʃt̪ʃʰəs̪ɑː [sˈʌndazəl].
422.wav| ˈaftəwədz, wˈɛn hˈiː lˈiːvz tˈuː kwˈɒlɪtiz—ɡɹˈiːd ˈand ˈɪl wˈɪl—ðˈɛn, kwˈaɪt sɪklˈuːdɪd fɹˈɒm sˌɛnsjuːˈalɪti, sɪklˈuːdɪd fɹˈɒm ʌnskˈɪlfəl kwˈɒlɪtiz, hˈiː ˈɛntəz ˈand ɹɪmˈeɪnz ˈɪn ðˈə fˈɜːst d̪ʒʰɑːn̪ə:
423.wav| ðˈeə ˈaɪ tˈɔːt ðˈə ʋəd̪ʒd̪ʒɪən̪s̪ ðˈiːz sˈɛvən kəndˈɪʃənz ðˈat lˈiːd tˈuː nˈəʊ dɪklˈaɪn.
424.wav| wˈɛn jˈuː θˈɪŋk ðˈiːz ˈeɪt θˈɔːts ˈɒv ˈeɪ ɡɹˈeɪt pˈɜːsən, ðˈɛn—wɛnˈɛvə jˈuː wˈɒnt—wˈɪð ðˈə stˈɪlɪŋ ˈɒv daɪɹˈɛktɪd θˈɔːts ˈand ɪvˌaljuːˈeɪʃənz, jˈuː wˈɪl ˈɛntə ˈand ɹɪmˈeɪn ˈɪn ðˈə sˈɛkənd d̪ʒʰɑːn̪ə:
425.wav| wɪðˈaʊt dʒˈʌmpɪŋ ˈat ðˈə fˈɔːθ d̪ʒʰɑːn̪ə, wˈɪð ðˈə ɐbˈandənɪŋ ˈɒv plˈɛʒə ˈand pˈeɪn—ˈaz wˈɪð ðˈə ˈɜːlɪə dˌɪsɐpˈiəɹəns ˈɒv ɪlˈeɪʃən ˈand dɪstɹˈɛs—hˈiː ˈɛntəz ˈand ɹɪmˈeɪnz ˈɪn ðˈə fˈɔːθ d̪ʒʰɑːn̪ə:
426.wav| ðˈɛn ðˈə lɪt̪ʃt̪ʃʰəʋɪs̪ sˈɛt ˈaʊt fˈɔː əmbəpɑːliː's̪ ɡɹˈəʊv.
427.wav| wˈɛn ðˈɪs wˈɒz sˈɛd, ʋət̪ʃt̪ʃʰəoːt̪t̪ə ðˈə wˈɒndəɹə sˈɛd tˈuː ðˈə blˈɛsɛd wˈɒn:
428.wav| ɹɪɡˈɑːd ðˈə ɐsˈɛmblɪ ˈɒv lɪt̪ʃt̪ʃʰəʋɪs̪ ˈaz lˈaɪk ðˈə ɐsˈɛmblɪ ˈɒv ðˈə θˈɜːti-θɹˈiː!'
429.wav| fˈaɪv ˈand θɹˈiː. pəɲt̪ʃət̪t̪əjə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. wˈɒn hˈʌndɹɪd tˈuː
430.wav| [wˈɒn] 'ðˈeə ˈɪz ðˈə kˈeɪs wˈeə ˈeɪ mˈʌŋk, kwˈaɪt sɪklˈuːdɪd fɹˈɒm sˌɛnsjuːˈalɪti, sɪklˈuːdɪd fɹˈɒm ʌnskˈɪlfəl kwˈɒlɪtiz, ˈɛntəz ˈand ɹɪmˈeɪnz ˈɪn ðˈə fˈɜːst d̪ʒʰɑːn̪ə:
431.wav| ðˈeə ˈɪz ðˈə kˈeɪs wˈeə, wɛnˈɛvə wˈiː wˈɒnt, wˈɪð ðˈə ɐbˈandənɪŋ ˈɒv plˈɛʒə ˈand pˈeɪn—ˈaz wˈɪð ðˈə ˈɜːlɪə dˌɪsɐpˈiəɹəns ˈɒv dʒˈɔɪ ˈand dɪstɹˈɛs—wˈiː ˈɛntə ˈand ɹɪmˈeɪn ˈɪn ðˈə fˈɔːθ d̪ʒʰɑːn̪ə:
432.wav| ˈand ˈɒn ðˈat əkˈeɪʒən s̪əmiːt̪ɪ ðˈə kˈɑːtɹaɪt wˈɒz plˈeɪnɪŋ ðˈə ɹˈɪm ˈɒv ˈeɪ tʃˈaɹiət wˈiːl, ˈand ðˈə ɑːd̪ʒiːʋəkə pəɳɖuput̪t̪ə, ˈeɪ fˈɔːmə kˈɑːtɹaɪt, wˈɒz stˈandɪŋ bˈaɪ.
433.wav| ðˈɛn ɾoːɦɪt̪əs̪s̪ə, ðˈə sˈʌn ˈɒv ˈeɪ d̪eːʋə, ˈɪn ðˈə fˈɑː ɛkstɹˈiːm ˈɒv ðˈə nˈaɪt, hˈɪz ɛkstɹˈiːm ɹˈeɪdiəns lˈaɪtɪŋ ˈʌp ðˈə ɛntˈaɪɹɪti ˈɒv d̪ʒeːt̪ə's̪ ɡɹˈəʊv, wˈɛnt tˈuː ðˈə blˈɛsɛd wˈɒn.
434.wav| ˈaz ðˈeɪ wˈɜː sˈɪtɪŋ ðˈeə, vˈɛnəɹəbəl ɑːn̪ən̪d̪ə sˈɛd tˈuː ðˈə blˈɛsɛd wˈɒn, 'lˈɔːd, dʒˈʌst nˈaʊ t̪ʃun̪d̪ə ðˈə nˈɒvɪs sˈɛd tˈuː mˈiː, 'vˈɛnəɹəbəl sˈɜː, vˈɛnəɹəbəl s̪ɑːɾɪput̪t̪ə hˈaz tˈəʊtəli ʌnbˈaʊnd.
435.wav| ðˈɛn kˈɪŋ əd̪ʒɑːt̪əs̪ət̪t̪u ʋeːd̪eːɦɪput̪t̪ə ˈɒv məəd̪ʰə bˈɪlt ˈeɪ bˈɛɹɪəl mˈaʊnd ˈand hˈɛld ˈeɪ sˈɛɹɪməni fˈɔː ðˈə blˈɛsɛd wˈɒnz ɹˈɛlɪks ˈɪn ɾɑːd̪ʒəəɦə.
436.wav| ðˈats ðˈə wˈeɪ ˈɪt ˈɪz, t̪ʃun̪d̪ə, wˈɪð ˈeɪ wˈɛl-pɹəklˈeɪmd d̪ʰəmmə-ʋɪn̪əjə, wˈɛl-ɛkspˈaʊndɪd, lˈiːdɪŋ ˈaʊt, kəndjˈuːsɪv tˈuː kˈɑːmɪŋ, ɛkspˈaʊndɪd bˈaɪ wˈɒn hˈuː ˈɪz ɹˈaɪtli sˈɛlf-ɐwˈeɪkənd.
437.wav| ðˈeə ˈɪz ðˈə kˈeɪs wˈeə, ˈɪn ˈeɪ mˈʌŋk hˈuː hˈaz ɐtˈeɪnd ðˈə fˈaɪv-fˈaktəd fˈɜːst d̪ʒʰɑːn̪ə, ðˈeə əkˈɜːz daɪɹˈɛktɪd θˈɔːt, ɪvˌaljuːˈeɪʃən, ɹˈaptʃə, plˈɛʒə, ˈand sˈɪŋɡəlnəs ˈɒv mˈaɪnd.
438.wav| wˈɛn ðˈɪs wˈɒz sˈɛd, s̪ət̪ʃt̪ʃəkə ðˈə n̪ɪəɳʈʰə sˈɛd tˈuː ðˈə blˈɛsɛd wˈɒn:
439.wav| ˈɒn wˈɒn əkˈeɪʒən vˈɛnəɹəbəl s̪ɑːɾɪput̪t̪ə wˈɒz stˈeɪɪŋ nˈiə s̪ɑːʋət̪t̪ʰiː ˈɪn d̪ʒeːt̪ə's̪ ɡɹˈəʊv, ən̪ɑːt̪ʰəpɪɳɖɪkə's̪ mˈɒnastəɹi.
440.wav| ðˈeə ˈɪz ðˈə kˈeɪs wˈeə ˈeɪ mˈʌŋk, wˈɪð ðˈə ɐbˈandənɪŋ ˈɒv plˈɛʒə ˈand pˈeɪn—ˈaz wˈɪð ðˈə ˈɜːlɪə dˌɪsɐpˈiəɹəns ˈɒv ɪlˈeɪʃən ˈand dɪstɹˈɛs—ˈɛntəz ˈand ɹɪmˈeɪnz ˈɪn ðˈə fˈɔːθ d̪ʒʰɑːn̪ə:
441.wav| ðˈeə ˈɪz ðˈə kˈeɪs wˈeə ˈeɪ mˈʌŋk, wˈɪð ðˈə ɐbˈandənɪŋ ˈɒv plˈɛʒə ˈand pˈeɪn—ˈaz wˈɪð ðˈə ˈɜːlɪə dˌɪsɐpˈiəɹəns ˈɒv hˈapɪnəs ˈand dɪstɹˈɛs—ˈɛntəz ˈand ɹɪmˈeɪnz ˈɪn ðˈə fˈɔːθ d̪ʒʰɑːn̪ə:
442.wav| mˈɛntəl ɐbsˈɔːpʃən (wˈɒn). d̪ʒʰɑːn̪ə s̪ut̪t̪ə. əŋut̪t̪əɾə n̪ɪkɑːjə. fˈɔː: wˈɒn hˈʌndɹɪd twˈɛnti θɹˈiː
443.wav| mˈɛntəl ɐbsˈɔːpʃən (tˈuː). d̪ʒʰɑːn̪ə s̪ut̪t̪ə. əŋut̪t̪əɾə n̪ɪkɑːjə. fˈɔː: wˈɒn hˈʌndɹɪd twˈɛnti fˈɔː
444.wav| ˈɪn ðˈə fˈɔː d̪ʒʰɑːn̪əs̪:
445.wav| ˈaɪ hˈav hˈɜːd ðˈat ˈɒn wˈɒn əkˈeɪʒən ðˈə blˈɛsɛd wˈɒn, ˈɒn ˈeɪ wˈɒndəɹɪŋ tˈʊə ɐmˈʌŋ ðˈə koːs̪ələn̪s̪ wˈɪð ˈeɪ lˈɑːdʒ s̪əŋʰə ˈɒv mˈʌŋks, ɐɹˈaɪvd ˈat keːs̪əput̪t̪ə, ˈeɪ tˈaʊn ˈɒv ðˈə kɑːlɑːməs̪.
446.wav| ðˈɛn, ˈɜːlɪ ˈɪn ðˈə mˈɔːnɪŋ, ʋɪd̪ʒəjɑː ðˈə nˈʌn ɐdʒˈʌstɪd hˈɜː ɹˈəʊbz ˈand, tˈeɪkɪŋ hˈɜː bˈəʊl ˈand ˈaʊtə ɹˈəʊb, wˈɛnt ˈɪntʊ s̪ɑːʋət̪t̪ʰiː fˈɔː ˈɑːmz.
447.wav| ˈɛntəɹɪŋ ðˈə d̪ʒʰɑːn̪əs̪:
448.wav| ðˈɛn t̪ʃun̪d̪ə ðˈə nˈɒvɪs, hˈuː hˈad spˈɛnt ðˈə ɹˈeɪnz ˈat pɑːʋɑː, wˈɛnt tˈuː vˈɛnəɹəbəl ɑːn̪ən̪d̪ə ˈat s̪ɑːməɑːmə ˈand, ˈɒn ɐɹˈaɪvəl, hˈavɪŋ bˈaʊd dˈaʊn tˈuː hˈɪm, sˈat tˈuː wˈɒn sˈaɪd.
449.wav| • 'fˈɔː d̪ʒʰɑːn̪əs̪:
450.wav| ðˈɛn mɑːɾə ðˈə ˈiːvəl wˈɒn—sˈad ˈand dɪdʒˈɛktɪd ˈat ɹˈiəlˌaɪzɪŋ, 'ʋɪd̪ʒəjɑː ðˈə nˈʌn nˈəʊz mˈiː'—vˈanɪʃt ɹˈaɪt ðˈeə.
451.wav| sˈʌm ˈɒv ðˈə lɪt̪ʃt̪ʃʰəʋɪs̪, stˈeɪɪŋ sˈaɪlənt, sˈat tˈuː wˈɒn sˈaɪd.
452.wav| ˈaz ðˈeɪ wˈɜː sˈɪtɪŋ ðˈeə, ðˈeɪ [tˈəʊld hˈɪm wˈɒt hˈad hˈapənd, ˈand ˈadɪd,] 'ˈanɐlˌaɪz ðˈə mˈiːnɪŋ, vˈɛnəɹəbəl məɦɑː kət̪ʃt̪ʃɑːn̪ə!'
453.wav| ˈaɪ hˈav hˈɜːd ðˈat ˈɒn wˈɒn əkˈeɪʒən vˈɛnəɹəbəl məɦɑː kət̪ʃt̪ʃɑːn̪ə wˈɒz stˈeɪɪŋ ˈɪn əʋən̪t̪ɪ ˈat ˈɒspɹiz hˈɔːnt, ˈɒn ʃˈiə-fˈeɪs pˈiːk.
454.wav| ðˈɛn ðˈə blˈɛsɛd wˈɒn, hˈavɪŋ stˈeɪd nˈiə ɾɑːd̪ʒəəɦə ˈaz lˈɒŋ ˈaz hˈiː plˈiːzd, sˈɛd tˈuː vˈɛnəɹəbəl ɑːn̪ən̪d̪ə, 'kˈʌm, ɑːn̪ən̪d̪ə, wˈiː wˈɪl hˈɛd fˈɔː əmbələʈʈʰɪkɑː.'
455.wav| ˈaftə wˈɒndəɹɪŋ bˈaɪ stˈeɪdʒɪz hˈiː ɹˈiːtʃt s̪ɑːʋət̪t̪ʰiː, ˈand ðˈeə hˈiː lˈɪvd nˈiə s̪ɑːʋət̪t̪ʰiː ˈɪn d̪ʒeːt̪ə's̪ ɡɹˈəʊv, ən̪ɑːt̪ʰəpɪɳɖɪkə's̪ mˈɒnastəɹi.
456.wav| wˈɛn wˈɒn hˈaz ɐtˈeɪnd ðˈə fˈɔːθ d̪ʒʰɑːn̪ə, ˈɪn-ˈand-ˈaʊt bɹˈɛθs [bˈɒdili fˌabɹɪkˈeɪʃənz] hˈav sˈiːst.
458.wav| d̪ʒʰɑːn̪ə (wˈɒn). d̪ʒʰɑːn̪ə s̪ut̪t̪ə. əŋut̪t̪əɾə n̪ɪkɑːjə. sˈɪks: sˈɛvənti θɹˈiː
459.wav| d̪ʒʰɑːn̪ə (tˈuː). d̪ʒʰɑːn̪ə s̪ut̪t̪ə. əŋut̪t̪əɾə n̪ɪkɑːjə. sˈɪks: sˈɛvənti fˈɔː
460.wav| bˈʌt wˈɛn ðˈɪs sˈɛlf, wˈɪð ðˈə ɐbˈandənɪŋ ˈɒv plˈɛʒə ˈand pˈeɪn—ˈaz wˈɪð ðˈə ˈɜːlɪə dˌɪsɐpˈiəɹəns ˈɒv ɪlˈeɪʃən ˈand dɪstɹˈɛs—ˈɛntəz ˈand ɹɪmˈeɪnz ˈɪn ðˈə fˈɔːθ d̪ʒʰɑːn̪ə:
461.wav| ˈaz hˈiː wˈɒz sˈɪtɪŋ ðˈeə, vˈɛnəɹəbəl ɑːn̪ən̪d̪ə sˈɛd tˈuː hˈɪm, 'wˈɒt, fɹˈɛnd bʰəd̪d̪əd̪ʒɪ, ˈɪz suːpɹˈiːm ɐmˈʌŋ sˈaɪts?
462.wav| ˈaɪ dˈəʊnt sˈiː ðˈat,' hˈiː ʃˈʊd bˈiː tˈəʊld, 'ðˈeə ˈɪz ðˈə kˈeɪs, fɹˈɛnd, wˈeə ˈeɪ mˈʌŋk, wˈɪð ðˈə stˈɪlɪŋ ˈɒv daɪɹˈɛktɪd θˈɔːts ˈand ɪvˌaljuːˈeɪʃənz, ˈɛntəz ˈand ɹɪmˈeɪnz ˈɪn ðˈə sˈɛkənd d̪ʒʰɑːn̪ə:
463.wav| ðˈə ɡɹˈeɪtə dˈɪskɔːs tˈuː s̪əkulud̪ɑːjɪn̪. məɦɑːs̪əkulud̪ɑːjɪ s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. sˈɛvənti sˈɛvən
464.wav| ˈaɪ hˈav hˈɜːd ðˈat ˈat ˈɒn wˈɒn əkˈeɪʒən ðˈə blˈɛsɛd wˈɒn wˈɒz stˈeɪɪŋ nˈiə s̪ɑːʋət̪t̪ʰiː ˈɪn d̪ʒeːt̪ə's̪ ɡɹˈəʊv, ən̪ɑːt̪ʰəpɪɳɖɪkə's̪ mˈɒnastəɹi.
465.wav| ðˈeə ˈɪz ðˈə kˈeɪs, fɹˈɛndz, wˈeə ˈeɪ mˈʌŋk—kwˈaɪt sɪklˈuːdɪd fɹˈɒm sˌɛnsjuːˈalɪti, sɪklˈuːdɪd fɹˈɒm ʌnskˈɪlfəl kwˈɒlɪtiz—ˈɛntəz ˈand ɹɪmˈeɪnz ˈɪn ðˈə fˈɜːst d̪ʒʰɑːn̪ə:
466.wav| sˈiːtɪd, hˈiː sˈɛd tˈuː t̪ʃun̪d̪ə, 't̪ʃun̪d̪ə, sˈɜːv mˈiː wˈɪð ðˈə pˈɪɡ-dˈɛlɪkəsi jˈuː hˈav hˈad pɹɪpˈeəd, ˈand ðˈə s̪əŋʰə ˈɒv mˈʌŋks wˈɪð ðˈə ˈʌðə stˈeɪpəl ˈand nˈɒn-stˈeɪpəl fˈuːd jˈuː hˈav hˈad pɹɪpˈeəd.'
467.wav| wˈɪð ɹˈɛfɹəns tˈuː θˈɪŋz ˈɪn ðˈə fjˈuːtʃə ðˈat pɹəvˈaɪd ðˈə əkˈeɪʒən fˈɔː dɪzˈaɪə ˈand pˈaʃən, wˈɒn dɪsˈɜːnz ðˈeə fjˈuːtʃə (kəmmɪt̪ʃ) ɹɪzˈʌlts.
468.wav| wˈɪð ɹˈɛfɹəns tˈuː θˈɪŋz ˈɪn ðˈə pɹˈɛzənt ðˈat pɹəvˈaɪd ðˈə əkˈeɪʒən fˈɔː dɪzˈaɪə ˈand pˈaʃən, wˈɒn dɪsˈɜːnz ðˈeə fjˈuːtʃə (kəmmɪt̪ʃ) ɹɪzˈʌlts.
469.wav| ˈɔː fˈɜːðə, wˈɪð ðˈə ɐbˈandənɪŋ ˈɒv plˈɛʒə ˈand pˈeɪn—ˈaz wˈɪð ðˈə ˈɜːlɪə dˌɪsɐpˈiəɹəns ˈɒv ɪlˈeɪʃən ˈand dɪstɹˈɛs—hˈiː ˈɛntəz ˈand ɹɪmˈeɪnz ˈɪn ðˈə fˈɔːθ d̪ʒʰɑːn̪ə:
470.wav| ˈɒn wˈɒn əkˈeɪʒən ðˈə blˈɛsɛd wˈɒn wˈɒz stˈeɪɪŋ ɐmˈʌŋ ðˈə məəd̪ʰən̪s̪ nˈiə ðˈə bɹˈɑːmən vˈɪlɪdʒ ˈɒv pəɲt̪ʃəs̪ɑːlɑː.
471.wav| ðˈə ɡɹˈeɪt fˈɔːti. məɦɑː t̪ʃət̪t̪ɑːɾiːs̪əkə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. wˈɒn hˈʌndɹɪd sˈɛvəntˌiːn
472.wav| tˈuː bʰuːmɪd̪ʒə. bʰuːmɪd̪ʒə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. wˈɒn hˈʌndɹɪd twˈɛnti sˈɪks
473.wav| ˈaɪ hˈav hˈɜːd ðˈat ˈɒn wˈɒn əkˈeɪʒən ðˈə blˈɛsɛd wˈɒn wˈɒz stˈeɪɪŋ nˈiə s̪ɑːʋət̪t̪ʰiː, ˈɪn d̪ʒeːt̪ə's̪ ɡɹˈəʊv, ən̪ɑːt̪ʰəpɪɳɖɪkə's̪ mˈɒnastəɹi.
474.wav| wˈɪð ɹˈɛfɹəns tˈuː θˈɪŋz ˈɪn ðˈə pˈast ðˈat pɹəvˈaɪd ðˈə əkˈeɪʒən fˈɔː dɪzˈaɪə ˈand pˈaʃən, wˈɒn dɪsˈɜːnz ðˈeə fjˈuːtʃə (kəmmɪt̪ʃ) ɹɪzˈʌlts.
475.wav| s̪ut̪t̪ə n̪ɪpɑːt̪ə. fˈaɪv: fˈɪftiːn. moːʰəɾɑːd̪ʒə's̪ kwˈɛstʃən
476.wav| ðˈə dɪvˈɛləpmənt ˈɒv ðˈə fˈakəltiz. ɪn̪d̪ɾɪjə-bʰɑːʋən̪ɑː s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. wˈɒn hˈʌndɹɪd fˈɪfti tˈuː
477.wav| ˈaɪ hˈav hˈɜːd ðˈat ˈat wˈɒn tˈaɪm ðˈə blˈɛsɛd wˈɒn wˈɒz stˈeɪɪŋ nˈiə s̪ɑːʋət̪t̪ʰiː ˈɪn d̪ʒeːt̪ə's̪ ɡɹˈəʊv, ən̪ɑːt̪ʰəpɪɳɖɪkə's̪ mˈɒnastəɹi.
478.wav| ðˈɛn hˈɪz fˈɔːmə wˈaɪf, tˈeɪkɪŋ ðˈə bˈeɪbi ˈand lˈiːvɪŋ hˈɪm ˈɪn fɹˈʌnt ˈɒv vˈɛnəɹəbəl s̪əŋɑːməd̪ʒɪ, wˈɛnt ɐwˈeɪ, sˈeɪɪŋ, 'ðˈats jˈɔː sˈʌn, kəntˈəmplətˌɪv. lˈʊk ˈaftə hˈɪm.'
479.wav| ˈɪn ðˈat, ðˈə d̪ʰəmmə-dˌɛvəʊtˈiː mˈʌŋks dˈuː nˈɒt ʃˈaɪn bɹˈaɪtli, ˈand ðˈə d̪ʒʰɑːn̪ə mˈʌŋks dˈuː nˈɒt ʃˈaɪn bɹˈaɪtli.
480.wav| ˈɪn ðˈat, ðˈə d̪ʒʰɑːn̪ə mˈʌŋks dˈuː nˈɒt ʃˈaɪn bɹˈaɪtli, ˈand ðˈə d̪ʰəmmə-dˌɛvəʊtˈiː mˈʌŋks dˈuː nˈɒt ʃˈaɪn bɹˈaɪtli.
481.wav| ðˈɛn ʋət̪ʃt̪ʃʰəoːt̪t̪ə ðˈə wˈɒndəɹə ɡˈɒt ˈʌp fɹˈɒm hˈɪz sˈiːt ˈand lˈɛft.
482.wav| wˈɛn wˈɒn hˈaz ɐtˈeɪnd ðˈə sˈɛkənd d̪ʒʰɑːn̪ə, daɪɹˈɛktɪd θˈɔːts ˈand ɪvˌaljuːˈeɪʃənz [vˈɜːbəl fˌabɹɪkˈeɪʃənz] hˈav sˈiːst.
483.wav| ðˈeə ˈɪz ðˈə kˈeɪs wˈeə ˈeɪ mˈʌŋk—kwˈaɪt sɪklˈuːdɪd fɹˈɒm sˌɛnsjuːˈalɪti, sɪklˈuːdɪd fɹˈɒm ʌnskˈɪlfəl kwˈɒlɪtiz—ˈɛntəz ˈand ɹɪmˈeɪnz ˈɪn ðˈə fˈɜːst d̪ʒʰɑːn̪ə:
485.wav| ðˈeə ˈɪz ðˈə kˈeɪs wˈeə ˈeɪ mˈʌŋk—kwˈaɪt sɪklˈuːdɪd fɹˈɒm sˌɛnsjuːˈalɪti, sɪklˈuːdɪd fɹˈɒm ʌnskˈɪlfəl kwˈɒlɪtiz—ˈɛntəz ˈand ɹɪmˈeɪnz ˈɪn ðˈə fˈɜːst d̪ʒʰɑːn̪ə…
486.wav| sˈəʊ, ɡˈɪvɪŋ pɹaɪˈɒɹɪti tˈuː nˈɒn-fˈaʃənɪŋ, hˈiː nˈaɪðə ɛɡzˈɒlts hɪmsˈɛlf fˈɔː ðˈə ɐtˈeɪnmənt ˈɒv ðˈə fˈɜːst d̪ʒʰɑːn̪ə nˈɔː dɪspˈaɹɪdʒɪz ˈʌðəz.
487.wav| ˈɒn wˈɒn əkˈeɪʒən vˈɛnəɹəbəl məɦɑː kət̪ʃt̪ʃɑːn̪ə wˈɒz stˈeɪɪŋ ˈat ʋəɾəɳɑː ˈɒn ðˈə ʃˈɔː ˈɒv kəd̪d̪əmə (mˈʌdi) lˈeɪk.
488.wav| ðˈə ɡɹˈeɪt fˈʊl-mˈuːn nˈaɪt dˈɪskɔːs. məɦɑː puɳɳəmə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. wˈɒn hˈʌndɹɪd nˈaɪn
489.wav| ðˈeə ˈɪz ðˈə kˈeɪs wˈeə, kwˈaɪt sɪklˈuːdɪd fɹˈɒm sˌɛnsjuːˈalɪti, sɪklˈuːdɪd fɹˈɒm ʌnskˈɪlfəl kwˈɒlɪtiz, ðˈə dɪsˈaɪpəl ˈɒv ðˈə nˈəʊbəl wˈɒnz ˈɛntəz ˈand ɹɪmˈeɪnz ˈɪn ðˈə fˈɜːst d̪ʒʰɑːn̪ə:
490.wav| ðˈɛn kəɳɖəɾɑːjən̪ə ðˈə bɹˈɑːmən wˈɛnt tˈuː vˈɛnəɹəbəl məɦɑː kət̪ʃt̪ʃɑːn̪ə ˈand ˈɒn ɐɹˈaɪvəl ɛkstʃˈeɪndʒd kˈɜːtiəs ɡɹˈiːtɪŋz wˈɪð hˈɪm.
491.wav| fɹˈɒm wˈɒn hˈuː ˈɪz dˈiə. pɪjəd̪ʒɑːt̪ɪkə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. ˈeɪti sˈɛvən
492.wav| wɪðˈaʊt dʒˈʌmpɪŋ ˈat ðˈə sˈɛkənd d̪ʒʰɑːn̪ə, hˈiː—wˈɪð ðˈə stˈɪlɪŋ ˈɒv daɪɹˈɛktɪd θˈɔːts ˈand ɪvˌaljuːˈeɪʃənz—ˈɛntəz ˈand ɹɪmˈeɪnz ˈɪn ðˈə sˈɛkənd d̪ʒʰɑːn̪ə:
493.wav| ðˈə ɡɹˈeɪt lˈaɪənz ɹˈɔː dˈɪskɔːs. məɦɑːs̪iːɦən̪ɑːd̪ə s̪ut̪t̪ə. məd̪ʒd̪ʒʰɪmə n̪ɪkɑːjə. twˈɛlv
